platform,username,post_url,date,content_type,topic,format,hook,caption_summary,likes,comments,views,slides,cta,visual_notes,source_status,goldmood_opportunity
instagram,betilojiapp,https://www.instagram.com/betilojiapp/?hl=tr,unknown,profile,astroloji,bio,"Yıldızlar konuşur, duyan azdır.","Cevaplar dışarıda değil, sende saklı. Kendi ritmini başlat.",,,,,,"Profil dili: mistik/kısa/merak uyandırıcı.",public_meta,"GoldMood bio/caption dilinde mistik ama premium kısa cümleler kullanılabilir."
instagram,ms_astro,https://www.instagram.com/ms_astro/p/DYmyB52jXw1/?hl=en,unknown,carousel,astroloji,part-series,"Part 2 geldi","Seri devamlılığı; Google indeksinde 1,117 likes kırıntısı.",1117,,,,"Diğer parçaya yönlendirme","Seri carousel, burç listesi, app CTA",google_index,"GoldMood yükselen carousellerini 1/2 ve 2/2 olarak planlayabilir."
instagram,ms_astro,https://www.instagram.com/p/DYpdLp7jb41/?img_index=5,unknown,carousel,burç-listesi,zodiac-list,"Burçlar bir çiçek olsaydı","Yorum tetikleyen kişisel eşleştirme formatı; Google indeksinde 33 comments kırıntısı.",,33,,,"Burcunu bul / yorumlara yaz","Burç + sembol eşleştirme",google_index,"GoldMood için burcuna göre yaz enerjin, Ay burcuna göre duygu dilin serileri."
instagram,ms_astro,manual-screenshot-2026-07-29-altin-cag,2026-07-15,carousel,burç-listesi,hope-list,"15 Temmuz itibariyle Hayatının Altın Çağını Yaşamaya Başlayacak Burçlar","Beklenmedik fırsatlar, doğru zamanda atılan cesur adımlar ve uzun zamandır beklenen gelişmeler kapıda olabilir. Kaydır ve burcunun mesajını öğren. Sence en çok hangi burç hayatının altın çağını yaşayacak?",7019,visible_many,,,"Kaydır + yorumlarda buluşalım","Minimal krem arka plan; mavi büyük yazı; el/ok ikonu; marka küçük altta",manual_screenshot,"GoldMood için transit tarihli umut/fırsat carousel; daha premium mor-altın görsel ve danışmanlık CTA."
instagram,ms_astro,manual-screenshot-2026-07-29-dilek-aslan,2026-06-15,carousel,dilek-manifest,zodiac-wish,"Aslan burçları sizin için diliyorum","Arkadaşına gönder, dileği kabul olsun. Burcunu bul ve sana dilediklerimizi oku.",4118,visible_many,,,"Arkadaşına gönder + burcunu bul","Cin lambası/karakter illüstrasyonu; açık zemin; mor metin; dilek listesi",manual_screenshot,"GoldMood için burçlara/yükselenlere özel iyi dilek manifest carousel."
instagram,ms_astro,manual-screenshot-2026-07-29-haziran-kelime,2026-05-31,reel,manifest-bulmaca,word-search,"Gördüğün ilk kelimeyi yorumlara yaz; Haziran ayında senin olsun","Haziran kapıda. Bu kelimeyi gördüysen evrene siparişini çoktan vermiş olabilirsin.",3938,visible_many,,,"İlk gördüğün kelimeyi yoruma bırak","Mor arka plan; harf bulmaca grid; yorum tetikleyen oyun",manual_screenshot,"GoldMood için aylık kelime bulmaca: aşk/para/huzur/fırsat/şifa."
instagram,ms_astro,manual-screenshot-2026-07-29-kart-1-4,2026-05-17,reel,tarot/pick-a-card,pick-card-4,"Evren şu an sana bir şey anlatmaya çalışıyor","1,2,3 ya da 4? Seçimini yapmadan önce derin bir nefes al. Açıklamalar kısmından oku.",3737,visible_many,,,"Seçtiğin kartı yorumlara yaz","Koyu arka plan; 4 kart; mor-beyaz güçlü metin",manual_screenshot,"GoldMood için 4 kart seçimi + elementlere göre kısa mesaj + danışman CTA."
instagram,ms_astro,manual-screenshot-2026-07-29-seni-nasil-goruyor,2026-05-16,carousel,iliski/tarot,pick-card-2,"Seni nasıl görüyor? Bir kart seç","Kartını seç yana kaydır.",2127,visible_comments,,,"Kartını seç + yana kaydır","Açık zemin; iki mistik kart; ilişki merakı hooku",manual_screenshot,"GoldMood için ilişki/sinastri odaklı 2 kart seçimi: seni nasıl görüyor?"
instagram,ms_astro,manual-screenshot-2026-07-29-guzelligi-tescilli,2026-05-13,carousel,burç-listesi/çekicilik,zodiac-ranking,"Aurası ile büyüleyenler tam liste! Güzelliği tescilli 5 burç","Bazıları güzelliği makyajla, bazıları enerjisiyle taşıyor. Sence en dikkat çekici burç hangisi?",5280,visible_many,,,"Sence en dikkat çekici burç hangisi?","Minimal krem zemin; mor başlık; el/nail illüstrasyonu; liste vaadi",manual_screenshot,"GoldMood için aura/enerji/çekim gücü listeleri; Venüs/Ay burcu uyarlaması."
instagram,ms_astro,manual-screenshot-2026-07-29-element-kartlari,2026-03-28,reel,tarot/element,pick-card-4-elements,"Evren şu an sana bir şey anlatmaya çalışıyor","1. Kart ateş, 2. su, 3. toprak, 4. hava burçları için mesajlar.",3143,visible_many,,,"Seçtiğin karta iki kere tıkla","Koyu arka plan; 4 kart; elementlere göre uzun caption yorumu",manual_screenshot,"GoldMood için element bazlı tarot mesajları: ateş/su/toprak/hava."
